"상태","지불 ID","결제 날짜","결제 명세서","처리 금액"
"조정됨","333262923","미결제","-","KRW 3989589"
"송금됨","333183980","미결제","-","KRW 5173378"
"결제됨","333151005","2025.12.03.","8783965","KRW 3077458"
"결제됨","333112318","2025.12.01.","8768229","KRW 3195542"
"결제됨","333063004","2025.11.24.","8727156","KRW 5217659"
"결제됨","332994275","2025.11.18.","8698863","KRW 3682619"
"결제됨","332964267","2025.11.17.","8690032","KRW 5165997"
"결제됨","332928730","2025.11.12.","8664499","KRW 3557162"
"결제됨","332881103","2025.11.10.","8646273","KRW 5062674"
"결제됨","332842696","2025.11.05.","8616239","KRW 3350510"
"결제됨","332794801","2025.10.31.","8590611","KRW 4996267"
"결제됨","332744877","2025.10.27.","8557917","KRW 3793318"
"결제됨","332688848","2025.10.22.","8536762","KRW 3129123"
"결제됨","332594124","2025.10.14.","8490662","KRW 3394809"
"결제됨","332545782","2025.10.10.","8470810","KRW 5557140"
"결제됨","332465577","2025.10.06.","8435078","KRW 4426376"
"결제됨","332414911","2025.09.30.","8402408","KRW 4191844"
"결제됨","332372022","2025.09.26.","8381694","KRW 4147576"
"결제됨","332270867","2025.09.22.","8351543","KRW 3881885"
"결제됨","332141165","2025.09.11.","8296216","KRW 3911404"
"결제됨","332068072","2025.09.08.","8269986","KRW 3992575"
"결제됨","331962346","2025.08.28.","8202647","KRW 3719511"
"결제됨","331907742","2025.08.25.","8179541","KRW 4546056"
"결제됨","331826853","2025.08.18.","8138227","KRW 4605107"
"결제됨","331717328","2025.08.11.","8097871","KRW 2324696"
"결제됨","331632126","2025.08.04.","8050491","KRW 5025759"
"결제됨","331563844","2025.07.28.","8006950","KRW 4642001"
"결제됨","331458376","2025.07.21.","7967243","KRW 4929818"
"결제됨","331407716","2025.07.15.","7937744","KRW 3535013"
"결제됨","331365083","2025.07.11.","7918441","KRW 3490730"
"결제됨","331304581","2025.07.07.","7884036","KRW 3704757"
"결제됨","331261052","2025.07.03.","7865263","KRW 2110673"
"결제됨","331197286","2025.06.27.","7830224","KRW 2996270"
"결제됨","331124719","2025.06.23.","7804054","KRW 2531339"
"결제됨","331074017","2025.06.17.","7774106","KRW 4752722"
"결제됨","331042490","2025.06.16.","7765973","KRW 4886417"
"결제됨","331000008","2025.06.10.","7736301","KRW 2553483"
"결제됨","330955176","2025.06.09.","7724145","KRW 2767508"
"결제됨","330910660","2025.06.03.","7692063","KRW 2996273"
"결제됨","330882334","2025.06.02.","7682814","KRW 4073767"
"결제됨","330841808","2025.05.27.","7649922","KRW 2745354"
"결제됨","330777250","2025.05.21.","7618193","KRW 3793309"
"결제됨","330735053","2025.05.19.","7603784","KRW 4125412"
"결제됨","330678547","2025.05.12.","7564999","KRW 3114357"
"결제됨","330588306","2025.05.05.","7522729","KRW 3365280"
"결제됨","330561434","2025.05.02.","7514502","KRW 3261961"
"결제됨","330529482","2025.04.29.","7494227","KRW 3896651"
"결제됨","330497381","2025.04.28.","7485447","KRW 2361606"
"결제됨","330416878","2025.04.18.","7443006","KRW 2774876"
"결제됨","330346543","2025.04.14.","7415450","KRW 4169707"
"결제됨","330262863","2025.04.07.","7378243","KRW 6213124"
"결제됨","330228968","2025.04.02.","7356103","KRW 3712146"
"결제됨","330179547","2025.03.28.","7331750","KRW 3350529"
"결제됨","330149183","2025.03.25.","7316748","KRW 2265661"
"결제됨","330103196","2025.03.21.","7299266","KRW 2509203"
"결제됨","330046112","2025.03.17.","7274629","KRW 3284112"
"결제됨","329481616","2025.03.10.","7238622","KRW 1424334"
"결제됨","329223651","2025.03.03.","7198410","KRW 2398503"
"결제됨","329190347","2025.02.26.","7178078","KRW 2007371"
"결제됨","329080006","2025.02.19.","7144178","KRW 1756439"
"결제됨","328938689","2025.02.06.","7074479","KRW 2863603"
"결제됨","328855002","2025.01.28.","7026200","KRW 2154961"
"결제됨","328764130","2025.01.20.","6985774","KRW 1808101"
"결제됨","328638293","2025.01.10.","6935345","KRW 2022118"
"결제됨","328554093","2025.01.03.","6896362","KRW 2435394"
"결제됨","328521530","2024.12.30.","6868025","KRW 2213999"
"결제됨","328490584","2024.12.26.","6854353","KRW 2948294"
"결제됨","328445646","2024.12.23.","6834890","KRW 2450158"
"결제됨","328367964","2024.12.17.","6808587","KRW 2597746"
"결제됨","328037714","2024.12.09.","6761228","KRW 2324692"
