"참조 번호","요청 날짜","상태","추적 번호","지불 ID","결제 날짜","결제 명세서","처리 금액"
"제공 안 됨","2025.12.05.","조정됨","29103454","333262923","미결제","-","KRW 3989589"
"제공 안 됨","2025.11.30.","송금됨","29056951","333183980","미결제","-","KRW 5173378"
"제공 안 됨","2025.11.26.","결제됨","29037975","333151005","2025.12.03.","8783965","KRW 3077458"
"제공 안 됨","2025.11.22.","결제됨","29015573","333112318","2025.12.01.","8768229","KRW 3195542"
"제공 안 됨","2025.11.17.","결제됨","28989129","333063004","2025.11.24.","8727156","KRW 5217659"
"제공 안 됨","2025.11.11.","결제됨","28956061","332994275","2025.11.18.","8698863","KRW 3682619"
"제공 안 됨","2025.11.08.","결제됨","28937280","332964267","2025.11.17.","8690032","KRW 5165997"
"제공 안 됨","2025.11.05.","결제됨","28920347","332928730","2025.11.12.","8664499","KRW 3557162"
"제공 안 됨","2025.11.01.","결제됨","28888291","332881103","2025.11.10.","8646273","KRW 5062674"
"제공 안 됨","2025.10.29.","결제됨","28867550","332842696","2025.11.05.","8616239","KRW 3350510"
"제공 안 됨","2025.10.24.","결제됨","28842558","332794801","2025.10.31.","8590611","KRW 4996267"
"제공 안 됨","2025.10.20.","결제됨","28818659","332744877","2025.10.27.","8557917","KRW 3793318"
"제공 안 됨","2025.10.15.","결제됨","28793112","332688848","2025.10.22.","8536762","KRW 3129123"
"제공 안 됨","2025.10.07.","결제됨","28743857","332594124","2025.10.14.","8490662","KRW 3394809"
"제공 안 됨","2025.10.03.","결제됨","28718886","332545782","2025.10.10.","8470810","KRW 5557140"
"제공 안 됨","2025.09.27.","결제됨","28671603","332465577","2025.10.06.","8435078","KRW 4426376"
"제공 안 됨","2025.09.23.","결제됨","28650888","332414911","2025.09.30.","8402408","KRW 4191844"
"제공 안 됨","2025.09.19.","결제됨","28629108","332372022","2025.09.26.","8381694","KRW 4147576"
"제공 안 됨","2025.09.13.","결제됨","28592476","332270867","2025.09.22.","8351543","KRW 3881885"
"제공 안 됨","2025.09.04.","결제됨","28541200","332141165","2025.09.11.","8296216","KRW 3911404"
"제공 안 됨","2025.08.30.","결제됨","28497447","332068072","2025.09.08.","8269986","KRW 3992575"
"제공 안 됨","2025.08.21.","결제됨","28448285","331962346","2025.08.28.","8202647","KRW 3719511"
